_id,rating,image,title,writer,released,description,__v
5f8ca02cea55d3284e4b2b46,80,https://mycima.io/wp-content/uploads/2020/02/MV5BZmUxNmRmNzctNGIzNS00NDI0LTkwZTktMjcwMjNkYmNiNjllXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UY1200--351x520.jpg,Desenfr,Caponeto,2014,"The Los Angeles County Sheriff's Department is one of the largest police forces in the world, but when the sheriff-elect dies, a mysterious rule in the county charter, formed in the Wild West, suddenly pushes the most likely man into action.",0
5f8ca050ea55d3284e4b2b47,24,https://mycima.io/wp-content/uploads/2020/02/MV5BNjFmYzAzYTgtY2U5My00NWMzLWExODctNGM4YjA1ZTMyZjgzXkEyXkFqcGdeQXVyNDk3ODk4OQ@@._V1_UY1200--370x518.jpg,Queen Sono,Diprente Films,2015,Queen Sonu is an adult orphan who finds her goal in working with a spy agency dedicated to protecting the entire African continent.,0
5f8ca076ea55d3284e4b2b48,65,https://mycima.io/wp-content/uploads/2020/02/MV5BMzhhM2IwYTAtZWQ4MS00NWE0LWI3NjMtZWIwNWI4YjFmZWFjXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UY1200--351x520.jpg,Followers,Seguidores,2017,Robots in every corner of the world join social networks and give their time and privacy away in the name of connectedness.,0
5f8ca098ea55d3284e4b2b49,45,https://mycima.io/wp-content/uploads/2020/02/MV5BODFmMWQ5ZGQtYWMwMy00MmVlLWE5MmItODQ4MWUxZGI5ZjcwXkEyXkFqcGdeQXVyNDk3ODk4OQ@@._V1_UY1200--347x520.jpg,I Am Not Okay,Laps Entertainment,2012,Esta mierda me supera (Spain) | Мне это не нравится (Russia) | Esta mierda me supera (Argentina) | 這樣 不 OK (Taiwan) | Ez így nem OK (Hungary),0
5f8ca0b6ea55d3284e4b2b4a,52,"https://mycima.io/wp-content/uploads/2020/02/MV5BM2MwODIyMzYtYWI4Zi00ZmNjLWE4MGEtN2NkNzI1MDhiNzVmXkEyXkFqcGdeQXVyMTM1NjgyNDI@._V1_UY1200_CR90,0,630,1200_AL_--273x520.jpg",Gentefied,lovable,2015,"Based on the digital series of the same title, Gentefied focuses on three relatives who band together to keep their grandfather's famous Boyle Heights taco shop in action as the neighborhood becomes more focused.",0
5f8ca0d2ea55d3284e4b2b4b,41,"https://mycima.io/wp-content/uploads/2020/02/MV5BZWEwZTcyNjctMjAzZC00ZGU0LWIxYWQtMDAwMmU1NzQ1ZjQ3XkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_UY1200_CR91,0,630,1200_AL_--273x520.jpg",Hunters,Big Indie,2018,"Based on the digital series of the same title, Gentefied focuses on three relatives who band together to keep their grandfather's famous Boyle Heights taco shop in action as the neighborhood becomes more focused.",0
5f8ca116ea55d3284e4b2b4c,50,"https://mycima.io/wp-content/uploads/2020/02/MV5BNGZjMGM3ZjktZmIxNC00MmVkLWFmOTMtYmFjNmZhNmEzZjUxXkEyXkFqcGdeQXVyMTAyNjg4NjE0._V1_UY1200_CR85,0,630,1200_AL_--273x520.jpg","High Fidelity
",Midnight Radio,2012,"Based on the digital series of the same title, Gentefied focuses on three relatives who band together to keep their grandfather's famous Boyle Heights taco shop in action as the neighborhood becomes more focused.",0
5f8ca14eea55d3284e4b2b4d,32,"https://mycima.io/wp-content/uploads/2020/02/MV5BYTU1NjRhODItZjQ4Ni00M2ZiLTkxN2YtZGMxZTI2NjA0M2Y0XkEyXkFqcGdeQXVyNDM1MTM4Njc@._V1_UY1200_CR112,0,630,1200_AL_--273x520.jpg","Utopia Falls
",Hamilton,1998,"In a bending type film, a group of teenagers in a faraway colony from an ancient archive that is forbidden from historical, cultural and musical monuments reveal a future story.",0
5f8ca17aea55d3284e4b2b4e,58,"https://mycima.io/wp-content/uploads/2020/02/MV5BY2U4ZGFlYTEtMzc1NS00ZmY2LWE3YTYtMTc4MzQ2NzhiYmM1XkEyXkFqcGdeQXVyNTk1NDI5NTk@._V1_UY1200_CR111,0,630,1200_AL_--273x520.jpg","Baghdad Central
",Euston Films,1982,"In a bending type film, a group of teenagers in a faraway colony from an ancient archive that is forbidden from historical, cultural and musical monuments reveal a future story.",0
5f8ca19bea55d3284e4b2b4f,12,https://mycima.io/wp-content/uploads/2020/01/p16945475_b_v8_ac_f88623867f0b60a8a8487b6218eb976b11539c9f-347x520.jpg,"FBI: Most Wanted
",CBS Television,1996,"In a bending type film, a group of teenagers in a faraway colony from an ancient archive that is forbidden from historical, cultural and musical monuments reveal a future story.",0
5f8ca1bcea55d3284e4b2b50,57,https://mycima.io/wp-content/uploads/2020/02/For-Life-370x493.jpg,"For Life
",Channel Road,1990,Doug Robinson ProductionsChannel Road ProductionsG UnitABC StudiosSony Pictures Television Studios,0
5f8ca1d8ea55d3284e4b2b51,85,"https://mycima.io/wp-content/uploads/2020/02/MV5BOGUwNTMyOTAtMjA0ZS00MjViLWJlMGQtYTZhZTcxOGVkODQ0XkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_UY1200_CR92,0,630,1200_AL_--273x520.jpg","The Pale Horse
",Agatha Christie,2000,Doug Robinson ProductionsChannel Road ProductionsG UnitABC StudiosSony Pictures Television Studios,0
